cutoff,Store,Dept,series,model,wape,mape,rmse
2023-01-22,1,1,S01_D01,seasonal_naive,0.07266742757610208,7.080346416535177,2140.900237689159
2023-01-22,1,1,S01_D01,holt_winters,0.0511314209623834,5.221010782350917,1518.0681442371044
2023-01-22,1,1,S01_D01,global_gbm,0.13952182697273258,14.469840616156166,4158.170141771244
2023-01-22,1,2,S01_D02,seasonal_naive,0.07423633494357658,7.388107619932116,3671.175367397683
2023-01-22,1,2,S01_D02,holt_winters,0.12487890717753808,12.586964622225128,6368.258265850983
2023-01-22,1,2,S01_D02,global_gbm,0.08303319765026508,8.806601331977824,4577.855939454105
2023-01-22,1,3,S01_D03,seasonal_naive,0.3450598618819356,14.614476094740233,63459.6077157294
2023-01-22,1,3,S01_D03,holt_winters,0.35658290162544437,14.93122818710581,66240.38667625729
2023-01-22,1,3,S01_D03,global_gbm,0.351191846274114,15.96029385204801,63238.60159674301
2023-01-22,1,4,S01_D04,seasonal_naive,0.05515128990832175,5.469720050499581,987.9692924630806
2023-01-22,1,4,S01_D04,holt_winters,0.14592660071764185,14.865685130000687,2467.567554055586
2023-01-22,1,4,S01_D04,global_gbm,0.08672490872727724,8.724188777544228,1243.6524513913125
2023-01-22,1,5,S01_D05,seasonal_naive,0.08119193266009249,7.9014923164240916,3255.391152860897
2023-01-22,1,5,S01_D05,holt_winters,0.21629500777790697,21.570070405469387,7196.165518414325
2023-01-22,1,5,S01_D05,global_gbm,0.2607146878139325,26.198070340891245,8226.989375812362
2023-01-22,1,6,S01_D06,seasonal_naive,0.040287271030578956,4.303704071063015,2367.4485965459744
2023-01-22,1,6,S01_D06,holt_winters,0.10875833185179233,10.642722570349015,6231.6130987969145
2023-01-22,1,6,S01_D06,global_gbm,0.07306774142123766,8.285503499229971,4721.395967669249
2023-01-22,1,7,S01_D07,seasonal_naive,0.10301742674929561,10.203607438273478,6352.765716110386
2023-01-22,1,7,S01_D07,holt_winters,0.1765379830300585,18.697427394509543,10257.010925288725
2023-01-22,1,7,S01_D07,global_gbm,0.1220197121890989,13.00754184847175,7417.969140130519
2023-01-22,1,8,S01_D08,seasonal_naive,0.06344094690813125,6.446046123542101,770.8207302528257
2023-01-22,1,8,S01_D08,holt_winters,0.11565293962352931,11.70714623900558,1339.4946436720338
2023-01-22,1,8,S01_D08,global_gbm,0.11726637786823961,12.186971470811152,1435.7872214156873
2023-01-22,1,9,S01_D09,seasonal_naive,0.13329233920819974,12.172825022745755,5960.294327979952
2023-01-22,1,9,S01_D09,holt_winters,0.21829568756424264,21.16956460904691,8655.647119464722
2023-01-22,1,9,S01_D09,global_gbm,0.19330164949695633,21.594699690153305,7797.642778301798
2023-01-22,1,10,S01_D10,seasonal_naive,0.10371978808852167,10.369371709519545,1454.8238499127656
2023-01-22,1,10,S01_D10,holt_winters,0.10626937861430047,9.67087896775716,1574.1222977798982
2023-01-22,1,10,S01_D10,global_gbm,0.1783122901295459,18.807243385003254,2106.2686818143584
2023-01-22,1,11,S01_D11,seasonal_naive,0.04481017673695432,4.596910434387441,2520.3619230553977
2023-01-22,1,11,S01_D11,holt_winters,0.1938804681978488,19.43690164208367,9101.738829669668
2023-01-22,1,11,S01_D11,global_gbm,0.0900220108102448,10.00246728331137,3983.026342276228
2023-01-22,1,12,S01_D12,seasonal_naive,0.08208010070118787,7.957496854948473,1596.171547727562
2023-01-22,1,12,S01_D12,holt_winters,0.10159789069726648,10.117700039528575,1746.0658699086346
2023-01-22,1,12,S01_D12,global_gbm,0.12204014385835044,12.312721813083702,2114.407477260653
2023-01-22,2,1,S02_D01,seasonal_naive,0.060695558909873056,5.857435073612624,3337.8629963720796
2023-01-22,2,1,S02_D01,holt_winters,0.2001452795212102,21.17172239675003,9784.8668916257
2023-01-22,2,1,S02_D01,global_gbm,0.15723051774662422,16.327294469128574,7228.251361366016
2023-01-22,2,2,S02_D02,seasonal_naive,0.07846311019939285,7.057747038911283,8086.890024163339
2023-01-22,2,2,S02_D02,holt_winters,0.13204204748527135,12.353459051230221,13784.149738215554
2023-01-22,2,2,S02_D02,global_gbm,0.053342917918316156,4.918638036925459,5408.345218720659
2023-01-22,2,3,S02_D03,seasonal_naive,0.2039099624579832,72.35990743703852,34615.49464615683
2023-01-22,2,3,S02_D03,holt_winters,0.28333339234861254,85.21219683201159,39550.82984335943
2023-01-22,2,3,S02_D03,global_gbm,0.32204819905901255,95.85932166649435,43716.16413757622
2023-01-22,2,4,S02_D04,seasonal_naive,0.09069077535898015,8.818984525082632,2570.3119650175727
2023-01-22,2,4,S02_D04,holt_winters,0.124972599084197,12.896009983980882,3869.390216032322
2023-01-22,2,4,S02_D04,global_gbm,0.11490994039337173,11.6446901607485,2906.2081034040534
2023-01-22,2,5,S02_D05,seasonal_naive,0.07173589303008501,7.031827321704682,4869.707719270737
2023-01-22,2,5,S02_D05,holt_winters,0.11449938104696787,11.276271176604366,7825.434671381509
2023-01-22,2,5,S02_D05,global_gbm,0.04225989931449929,4.302791272247321,2669.0234420333863
2023-01-22,2,6,S02_D06,seasonal_naive,0.07816503458317148,7.389918391215794,8343.991017912229
2023-01-22,2,6,S02_D06,holt_winters,0.1530512316510847,15.42962209387422,12802.650514882545
2023-01-22,2,6,S02_D06,global_gbm,0.060371014422259124,5.659006749779686,6014.9624442746135
2023-01-22,2,7,S02_D07,seasonal_naive,0.05173467761064034,5.148190255247384,5073.215356502227
